Metric,CN,RA,AA
Hits@20,0.417,0.4177,0.4464
Hits@50,0.417,0.5235,0.524
Hits@100,0.5454,0.5454,0.5454
AUC,0.7725,0.7725,0.7725
AP,0.6888,0.6889,0.6889
