Metric,CN_Mean,CN_Var,RA_Mean,RA_Var,AA_Mean,AA_Var
mrr_hit1,0.0,0.0,0.0,0.0,0.0,0.0
mrr_hit3,0.0,0.0,0.0,0.0,0.0,0.0
mrr_hit10,0.0,0.0,0.0,0.0,0.0,0.0
MRR,0.004000000000000001,7.52316384526264e-37,0.004000000000000001,7.52316384526264e-37,0.004000000000000001,7.52316384526264e-37
mrr_hit20,0.0,0.0,0.0,0.0,0.0,0.0
mrr_hit50,0.0,0.0,0.0,0.0,0.0,0.0
mrr_hit100,0.0,0.0,0.0,0.0,0.0,0.0
