Metric,CN,RA,AA
Hits@20,0.0,0.0,0.0
Hits@50,0.0,0.0,0.0
Hits@100,0.0,0.0,0.0
AUC,0.4849,0.4849,0.4849
AP,0.4948,0.4943,0.4943
