Automorphism Ratio (A_r1),A_r_norm_2,A_r_norm_1,Number of Unique Groups (C_auto),Automorphism Ratio (A_r_log),num_nodes,automorphism_score
0.0022505667326309267,0.6143345318289859,0.22866906365797168,2365,-0.7713309363420283,2708,0.12666174298375188,Cora_0
0.0022505667326309267,0.6143345318289859,0.22866906365797168,2365,-0.7713309363420283,2708,0.12666174298375188,Cora_0.0
0.0028074810889121135,0.6283215363441335,0.2566430726882668,2347,-0.7433569273117332,2708,0.13330871491875929,Cora_0.1
0.0028074810889121135,0.6283215363441335,0.2566430726882668,2347,-0.7433569273117332,2708,0.13330871491875929,Cora_0.2
0.0028074810889121135,0.6283215363441335,0.2566430726882668,2347,-0.7433569273117332,2708,0.13330871491875929,Cora_0.30000000000000004
0.0028074810889121135,0.6283215363441335,0.2566430726882668,2347,-0.7433569273117332,2708,0.13330871491875929,Cora_0.4
0.0028074810889121135,0.6283215363441335,0.2566430726882668,2347,-0.7433569273117332,2708,0.13330871491875929,Cora_0.5
0.0028074810889121135,0.6283215363441335,0.2566430726882668,2347,-0.7433569273117332,2708,0.13330871491875929,Cora_0.6000000000000001
0.0028074810889121135,0.6283215363441335,0.2566430726882668,2347,-0.7433569273117332,2708,0.13330871491875929,Cora_0.7000000000000001
0.0028074810889121135,0.6283215363441335,0.2566430726882668,2347,-0.7433569273117332,2708,0.13330871491875929,Cora_0.8
0.0028074810889121135,0.6283215363441335,0.2566430726882668,2347,-0.7433569273117332,2708,0.13330871491875929,Cora_0.9
0.0028074810889121135,0.6283215363441335,0.2566430726882668,2347,-0.7433569273117332,2708,0.13330871491875929,Cora_1.0
0.0022505667326309267,0.6143345318289859,0.22866906365797168,2365,-0.7713309363420283,2708,0.12666174298375188,Cora_0
0.0022505667326309267,0.6143345318289859,0.22866906365797168,2365,-0.7713309363420283,2708,0.12666174298375188,Cora_0
0.0022505667326309267,0.6143345318289859,0.22866906365797168,2365,-0.7713309363420283,2708,0.12666174298375188,Cora_0
0.0022505667326309267,0.6143345318289859,0.22866906365797168,2365,-0.7713309363420283,2708,0.12666174298375188,Cora_0
0.0022505667326309267,0.6143345318289859,0.22866906365797168,2365,-0.7713309363420283,2708,0.12666174298375188,Cora_0
0.0022505667326309267,0.6143345318289859,0.22866906365797168,2365,-0.7713309363420283,2708,0.12666174298375188,Cora_0
0.0022505667326309267,0.6143345318289859,0.22866906365797168,2365,-0.7713309363420283,2708,0.12666174298375188,Cora_0
0.0022505667326309267,0.6143345318289859,0.22866906365797168,2365,-0.7713309363420283,2708,0.12666174298375188,Cora_0.0
0.0028074810889121135,0.6283215363441335,0.2566430726882668,2347,-0.7433569273117332,2708,0.13330871491875929,Cora_0.1
0.0028074810889121135,0.6283215363441335,0.2566430726882668,2347,-0.7433569273117332,2708,0.13330871491875929,Cora_0.2
0.0028074810889121135,0.6283215363441335,0.2566430726882668,2347,-0.7433569273117332,2708,0.13330871491875929,Cora_0.30000000000000004
0.0028074810889121135,0.6283215363441335,0.2566430726882668,2347,-0.7433569273117332,2708,0.13330871491875929,Cora_0.4
0.0028074810889121135,0.6283215363441335,0.2566430726882668,2347,-0.7433569273117332,2708,0.13330871491875929,Cora_0.5
0.0028074810889121135,0.6283215363441335,0.2566430726882668,2347,-0.7433569273117332,2708,0.13330871491875929,Cora_0.6000000000000001
0.0028074810889121135,0.6283215363441335,0.2566430726882668,2347,-0.7433569273117332,2708,0.13330871491875929,Cora_0.7000000000000001
0.0028074810889121135,0.6283215363441335,0.2566430726882668,2347,-0.7433569273117332,2708,0.13330871491875929,Cora_0.8
0.0028074810889121135,0.6283215363441335,0.2566430726882668,2347,-0.7433569273117332,2708,0.13330871491875929,Cora_0.9
0.0028074810889121135,0.6283215363441335,0.2566430726882668,2347,-0.7433569273117332,2708,0.13330871491875929,Cora_1.0
0.0022505667326309267,0.6143345318289859,0.22866906365797168,2365,-0.7713309363420283,2708,0.12666174298375188,Cora_0
0.0022505667326309267,0.6143345318289859,0.22866906365797168,2365,-0.7713309363420283,2708,0.12666174298375188,Cora_0.0
0.0028074810889121135,0.6283215363441335,0.2566430726882668,2347,-0.7433569273117332,2708,0.13330871491875929,Cora_0.1
0.0028074810889121135,0.6283215363441335,0.2566430726882668,2347,-0.7433569273117332,2708,0.13330871491875929,Cora_0.2
0.0028074810889121135,0.6283215363441335,0.2566430726882668,2347,-0.7433569273117332,2708,0.13330871491875929,Cora_0.30000000000000004
0.0028074810889121135,0.6283215363441335,0.2566430726882668,2347,-0.7433569273117332,2708,0.13330871491875929,Cora_0.4
0.0028074810889121135,0.6283215363441335,0.2566430726882668,2347,-0.7433569273117332,2708,0.13330871491875929,Cora_0.5
0.0028074810889121135,0.6283215363441335,0.2566430726882668,2347,-0.7433569273117332,2708,0.13330871491875929,Cora_0.6000000000000001
0.0028074810889121135,0.6283215363441335,0.2566430726882668,2347,-0.7433569273117332,2708,0.13330871491875929,Cora_0.7000000000000001
0.0028074810889121135,0.6283215363441335,0.2566430726882668,2347,-0.7433569273117332,2708,0.13330871491875929,Cora_0.8
0.0028074810889121135,0.6283215363441335,0.2566430726882668,2347,-0.7433569273117332,2708,0.13330871491875929,Cora_0.9
0.0028074810889121135,0.6283215363441335,0.2566430726882668,2347,-0.7433569273117332,2708,0.13330871491875929,Cora_1.0
