data_name,num_node,Metric,Best Valid,Best Valid Mean,Mean List,Variance List,Test Result
RegularTilling.TRIANGULAR,8000,Hits@1,20.0 ± 27.39,20.0,"[100.0, 20.0, 70.0]","[0.0, 27.39, 44.72]",70.00 ± 44.72
RegularTilling.TRIANGULAR,8000,Hits@5,100.0 ± 0.0,100.0,"[100.0, 100.0, 100.0]","[0.0, 0.0, 0.0]",100.00 ± 0.00
RegularTilling.TRIANGULAR,8000,Hits@50,100.0 ± 0.0,100.0,"[100.0, 100.0, 100.0]","[0.0, 0.0, 0.0]",100.00 ± 0.00
RegularTilling.TRIANGULAR,8000,Hits@100,100.0 ± 0.0,100.0,"[100.0, 100.0, 100.0]","[0.0, 0.0, 0.0]",100.00 ± 0.00
RegularTilling.TRIANGULAR,8000,MRR,100.0 ± 0.0,100.0,"[70.0, 100.0, 90.0]","[20.92, 0.0, 13.69]",90.00 ± 13.69
RegularTilling.TRIANGULAR,8000,AUC,60.0 ± 13.69,60.0,"[100.0, 60.0, 90.0]","[0.0, 13.69, 22.36]",90.00 ± 22.36
RegularTilling.TRIANGULAR,8000,AP,68.33 ± 13.69,68.33,"[100.0, 68.33, 91.67]","[0.0, 13.69, 18.64]",91.67 ± 18.64
RegularTilling.TRIANGULAR,8000,Hits@1,20.0 ± 27.39,20.0,"[100.0, 20.0, 70.0]","[0.0, 27.39, 44.72]",70.00 ± 44.72
RegularTilling.TRIANGULAR,8000,Hits@5,100.0 ± 0.0,100.0,"[100.0, 100.0, 100.0]","[0.0, 0.0, 0.0]",100.00 ± 0.00
RegularTilling.TRIANGULAR,8000,Hits@50,100.0 ± 0.0,100.0,"[100.0, 100.0, 100.0]","[0.0, 0.0, 0.0]",100.00 ± 0.00
RegularTilling.TRIANGULAR,8000,Hits@100,100.0 ± 0.0,100.0,"[100.0, 100.0, 100.0]","[0.0, 0.0, 0.0]",100.00 ± 0.00
RegularTilling.TRIANGULAR,8000,MRR,100.0 ± 0.0,100.0,"[70.0, 100.0, 90.0]","[20.92, 0.0, 13.69]",90.00 ± 13.69
RegularTilling.TRIANGULAR,8000,AUC,60.0 ± 13.69,60.0,"[100.0, 60.0, 90.0]","[0.0, 13.69, 22.36]",90.00 ± 22.36
RegularTilling.TRIANGULAR,8000,AP,68.33 ± 13.69,68.33,"[100.0, 68.33, 91.67]","[0.0, 13.69, 18.64]",91.67 ± 18.64
