data_name,num_node,Metric,Best Valid,Best Valid Mean,Mean List,Variance List,Test Result
RegularTilling.TRIANGULAR,8000,Hits@1,90.0 ± 22.36,90.0,"[100.0, 90.0, 0.0]","[0.0, 22.36, 0.0]",0.00 ± 0.00
RegularTilling.TRIANGULAR,8000,Hits@5,100.0 ± 0.0,100.0,"[100.0, 100.0, 100.0]","[0.0, 0.0, 0.0]",100.00 ± 0.00
RegularTilling.TRIANGULAR,8000,Hits@50,100.0 ± 0.0,100.0,"[100.0, 100.0, 100.0]","[0.0, 0.0, 0.0]",100.00 ± 0.00
RegularTilling.TRIANGULAR,8000,Hits@100,100.0 ± 0.0,100.0,"[100.0, 100.0, 100.0]","[0.0, 0.0, 0.0]",100.00 ± 0.00
RegularTilling.TRIANGULAR,8000,MRR,100.0 ± 0.0,100.0,"[85.0, 100.0, 80.0]","[13.69, 0.0, 20.92]",80.00 ± 20.92
RegularTilling.TRIANGULAR,8000,AUC,95.0 ± 11.18,95.0,"[100.0, 95.0, 20.0]","[0.0, 11.18, 20.92]",20.00 ± 20.92
RegularTilling.TRIANGULAR,8000,AP,96.67 ± 7.46,96.67,"[100.0, 96.67, 48.33]","[0.0, 7.46, 6.97]",48.33 ± 6.97
