data_name,num_node,Metric,Best Valid,Best Valid Mean,Mean List,Variance List,Test Result
RegularTilling.TRIANGULAR,8000,Hits@1,90.0 ± 22.36,90.0,"[100.0, 90.0, 20.0]","[0.0, 22.36, 44.72]",20.00 ± 44.72
RegularTilling.TRIANGULAR,8000,Hits@5,100.0 ± 0.0,100.0,"[100.0, 100.0, 100.0]","[0.0, 0.0, 0.0]",100.00 ± 0.00
RegularTilling.TRIANGULAR,8000,Hits@50,100.0 ± 0.0,100.0,"[100.0, 100.0, 100.0]","[0.0, 0.0, 0.0]",100.00 ± 0.00
RegularTilling.TRIANGULAR,8000,Hits@100,100.0 ± 0.0,100.0,"[100.0, 100.0, 100.0]","[0.0, 0.0, 0.0]",100.00 ± 0.00
RegularTilling.TRIANGULAR,8000,MRR,100.0 ± 0.0,100.0,"[85.0, 100.0, 75.0]","[22.36, 0.0, 17.68]",75.00 ± 17.68
RegularTilling.TRIANGULAR,8000,AUC,90.0 ± 22.36,90.0,"[100.0, 90.0, 60.0]","[0.0, 22.36, 22.36]",60.00 ± 22.36
RegularTilling.TRIANGULAR,8000,AP,95.0 ± 11.18,95.0,"[100.0, 95.0, 66.66]","[0.0, 11.18, 18.64]",66.66 ± 18.64
