data_name,num_node,Metric,Best Valid,Best Valid Mean,Mean List,Variance List,Test Result
RegularTilling.TRIANGULAR,8000,Hits@1,40.0 ± 41.83,40.0,"[80.0, 40.0, 30.0]","[44.72, 41.83, 27.39]",30.00 ± 27.39
RegularTilling.TRIANGULAR,8000,Hits@5,100.0 ± 0.0,100.0,"[100.0, 100.0, 100.0]","[0.0, 0.0, 0.0]",100.00 ± 0.00
RegularTilling.TRIANGULAR,8000,Hits@50,100.0 ± 0.0,100.0,"[100.0, 100.0, 100.0]","[0.0, 0.0, 0.0]",100.00 ± 0.00
RegularTilling.TRIANGULAR,8000,Hits@100,100.0 ± 0.0,100.0,"[100.0, 100.0, 100.0]","[0.0, 0.0, 0.0]",100.00 ± 0.00
RegularTilling.TRIANGULAR,8000,MRR,100.0 ± 0.0,100.0,"[70.0, 100.0, 75.0]","[20.92, 0.0, 0.0]",75.00 ± 0.00
RegularTilling.TRIANGULAR,8000,AUC,65.0 ± 28.5,65.0,"[90.0, 65.0, 55.0]","[22.36, 28.5, 20.92]",55.00 ± 20.92
RegularTilling.TRIANGULAR,8000,AP,75.0 ± 20.41,75.0,"[91.67, 75.0, 66.66]","[18.64, 20.41, 15.59]",66.66 ± 15.59
RegularTilling.TRIANGULAR,8000,Hits@1,40.0 ± 41.83,40.0,"[80.0, 40.0, 30.0]","[44.72, 41.83, 27.39]",30.00 ± 27.39
RegularTilling.TRIANGULAR,8000,Hits@5,100.0 ± 0.0,100.0,"[100.0, 100.0, 100.0]","[0.0, 0.0, 0.0]",100.00 ± 0.00
RegularTilling.TRIANGULAR,8000,Hits@50,100.0 ± 0.0,100.0,"[100.0, 100.0, 100.0]","[0.0, 0.0, 0.0]",100.00 ± 0.00
RegularTilling.TRIANGULAR,8000,Hits@100,100.0 ± 0.0,100.0,"[100.0, 100.0, 100.0]","[0.0, 0.0, 0.0]",100.00 ± 0.00
RegularTilling.TRIANGULAR,8000,MRR,100.0 ± 0.0,100.0,"[70.0, 100.0, 75.0]","[20.92, 0.0, 0.0]",75.00 ± 0.00
RegularTilling.TRIANGULAR,8000,AUC,65.0 ± 28.5,65.0,"[90.0, 65.0, 55.0]","[22.36, 28.5, 20.92]",55.00 ± 20.92
RegularTilling.TRIANGULAR,8000,AP,75.0 ± 20.41,75.0,"[91.67, 75.0, 66.66]","[18.64, 20.41, 15.59]",66.66 ± 15.59
