data_name,num_node,Metric,Best Valid,Best Valid Mean,Mean List,Variance List,Test Result
RegularTilling.TRIANGULAR,8000,Hits@1,30.0 ± 27.39,30.0,"[100.0, 30.0, 20.0]","[0.0, 27.39, 44.72]",20.00 ± 44.72
RegularTilling.TRIANGULAR,8000,Hits@5,100.0 ± 0.0,100.0,"[100.0, 100.0, 100.0]","[0.0, 0.0, 0.0]",100.00 ± 0.00
RegularTilling.TRIANGULAR,8000,Hits@50,100.0 ± 0.0,100.0,"[100.0, 100.0, 100.0]","[0.0, 0.0, 0.0]",100.00 ± 0.00
RegularTilling.TRIANGULAR,8000,Hits@100,100.0 ± 0.0,100.0,"[100.0, 100.0, 100.0]","[0.0, 0.0, 0.0]",100.00 ± 0.00
RegularTilling.TRIANGULAR,8000,MRR,100.0 ± 0.0,100.0,"[65.0, 100.0, 75.0]","[13.69, 0.0, 17.68]",75.00 ± 17.68
RegularTilling.TRIANGULAR,8000,AUC,55.0 ± 11.18,55.0,"[100.0, 55.0, 45.0]","[0.0, 11.18, 27.39]",45.00 ± 27.39
RegularTilling.TRIANGULAR,8000,AP,70.0 ± 11.18,70.0,"[100.0, 70.0, 60.0]","[0.0, 11.18, 14.91]",60.00 ± 14.91
