data_name,num_node,Metric,Best Valid,Best Valid Mean,Mean List,Variance List,Test Result
RegularTilling.TRIANGULAR,8000,Hits@1,60.0 ± 41.83,60.0,"[100.0, 60.0, 20.0]","[0.0, 41.83, 27.39]",20.00 ± 27.39
RegularTilling.TRIANGULAR,8000,Hits@5,100.0 ± 0.0,100.0,"[100.0, 100.0, 100.0]","[0.0, 0.0, 0.0]",100.00 ± 0.00
RegularTilling.TRIANGULAR,8000,Hits@50,100.0 ± 0.0,100.0,"[100.0, 100.0, 100.0]","[0.0, 0.0, 0.0]",100.00 ± 0.00
RegularTilling.TRIANGULAR,8000,Hits@100,100.0 ± 0.0,100.0,"[100.0, 100.0, 100.0]","[0.0, 0.0, 0.0]",100.00 ± 0.00
RegularTilling.TRIANGULAR,8000,MRR,100.0 ± 0.0,100.0,"[75.0, 100.0, 80.0]","[17.68, 0.0, 11.18]",80.00 ± 11.18
RegularTilling.TRIANGULAR,8000,AUC,75.0 ± 25.0,75.0,"[100.0, 75.0, 50.0]","[0.0, 25.0, 17.68]",50.00 ± 17.68
RegularTilling.TRIANGULAR,8000,AP,83.33 ± 17.68,83.33,"[100.0, 83.33, 65.0]","[0.0, 17.68, 13.69]",65.00 ± 13.69
RegularTilling.TRIANGULAR,8000,Hits@1,60.0 ± 41.83,60.0,"[100.0, 60.0, 20.0]","[0.0, 41.83, 27.39]",20.00 ± 27.39
RegularTilling.TRIANGULAR,8000,Hits@5,100.0 ± 0.0,100.0,"[100.0, 100.0, 100.0]","[0.0, 0.0, 0.0]",100.00 ± 0.00
RegularTilling.TRIANGULAR,8000,Hits@50,100.0 ± 0.0,100.0,"[100.0, 100.0, 100.0]","[0.0, 0.0, 0.0]",100.00 ± 0.00
RegularTilling.TRIANGULAR,8000,Hits@100,100.0 ± 0.0,100.0,"[100.0, 100.0, 100.0]","[0.0, 0.0, 0.0]",100.00 ± 0.00
RegularTilling.TRIANGULAR,8000,MRR,100.0 ± 0.0,100.0,"[75.0, 100.0, 80.0]","[17.68, 0.0, 11.18]",80.00 ± 11.18
RegularTilling.TRIANGULAR,8000,AUC,75.0 ± 25.0,75.0,"[100.0, 75.0, 50.0]","[0.0, 25.0, 17.68]",50.00 ± 17.68
RegularTilling.TRIANGULAR,8000,AP,83.33 ± 17.68,83.33,"[100.0, 83.33, 65.0]","[0.0, 17.68, 13.69]",65.00 ± 13.69
