data_name,num_node,Metric,Best Valid,Best Valid Mean,Mean List,Variance List,Test Result
RegularTilling.TRIANGULAR,8000,Hits@1,90.0 ± 22.36,90.0,"[100.0, 90.0, 10.0]","[0.0, 22.36, 22.36]",10.00 ± 22.36
RegularTilling.TRIANGULAR,8000,Hits@5,100.0 ± 0.0,100.0,"[100.0, 100.0, 100.0]","[0.0, 0.0, 0.0]",100.00 ± 0.00
RegularTilling.TRIANGULAR,8000,Hits@50,100.0 ± 0.0,100.0,"[100.0, 100.0, 100.0]","[0.0, 0.0, 0.0]",100.00 ± 0.00
RegularTilling.TRIANGULAR,8000,Hits@100,100.0 ± 0.0,100.0,"[100.0, 100.0, 100.0]","[0.0, 0.0, 0.0]",100.00 ± 0.00
RegularTilling.TRIANGULAR,8000,MRR,100.0 ± 0.0,100.0,"[100.0, 100.0, 65.0]","[0.0, 0.0, 13.69]",65.00 ± 13.69
RegularTilling.TRIANGULAR,8000,AUC,95.0 ± 11.18,95.0,"[100.0, 95.0, 20.0]","[0.0, 11.18, 20.92]",20.00 ± 20.92
RegularTilling.TRIANGULAR,8000,AP,96.67 ± 7.46,96.67,"[100.0, 96.67, 51.67]","[0.0, 7.46, 13.69]",51.67 ± 13.69
