data_name,num_node,Metric,Best Valid,Best Valid Mean,Mean List,Variance List,Test Result
RegularTilling.TRIANGULAR,8000,Hits@1,70.0 ± 44.72,70.0,"[100.0, 70.0, 30.0]","[0.0, 44.72, 44.72]",30.00 ± 44.72
RegularTilling.TRIANGULAR,8000,Hits@5,100.0 ± 0.0,100.0,"[100.0, 100.0, 100.0]","[0.0, 0.0, 0.0]",100.00 ± 0.00
RegularTilling.TRIANGULAR,8000,Hits@50,100.0 ± 0.0,100.0,"[100.0, 100.0, 100.0]","[0.0, 0.0, 0.0]",100.00 ± 0.00
RegularTilling.TRIANGULAR,8000,Hits@100,100.0 ± 0.0,100.0,"[100.0, 100.0, 100.0]","[0.0, 0.0, 0.0]",100.00 ± 0.00
RegularTilling.TRIANGULAR,8000,MRR,100.0 ± 0.0,100.0,"[70.0, 100.0, 85.0]","[20.92, 0.0, 22.36]",85.00 ± 22.36
RegularTilling.TRIANGULAR,8000,AUC,80.0 ± 32.6,80.0,"[100.0, 80.0, 45.0]","[0.0, 32.6, 44.72]",45.00 ± 44.72
RegularTilling.TRIANGULAR,8000,AP,86.67 ± 21.73,86.67,"[100.0, 86.67, 65.0]","[0.0, 21.73, 25.95]",65.00 ± 25.95
RegularTilling.TRIANGULAR,8000,Hits@1,70.0 ± 44.72,70.0,"[100.0, 70.0, 30.0]","[0.0, 44.72, 44.72]",30.00 ± 44.72
RegularTilling.TRIANGULAR,8000,Hits@5,100.0 ± 0.0,100.0,"[100.0, 100.0, 100.0]","[0.0, 0.0, 0.0]",100.00 ± 0.00
RegularTilling.TRIANGULAR,8000,Hits@50,100.0 ± 0.0,100.0,"[100.0, 100.0, 100.0]","[0.0, 0.0, 0.0]",100.00 ± 0.00
RegularTilling.TRIANGULAR,8000,Hits@100,100.0 ± 0.0,100.0,"[100.0, 100.0, 100.0]","[0.0, 0.0, 0.0]",100.00 ± 0.00
RegularTilling.TRIANGULAR,8000,MRR,100.0 ± 0.0,100.0,"[70.0, 100.0, 85.0]","[20.92, 0.0, 22.36]",85.00 ± 22.36
RegularTilling.TRIANGULAR,8000,AUC,80.0 ± 32.6,80.0,"[100.0, 80.0, 45.0]","[0.0, 32.6, 44.72]",45.00 ± 44.72
RegularTilling.TRIANGULAR,8000,AP,86.67 ± 21.73,86.67,"[100.0, 86.67, 65.0]","[0.0, 21.73, 25.95]",65.00 ± 25.95
