data_name,num_node,Metric,Best Valid,Best Valid Mean,Mean List,Variance List,Test Result
RegularTilling.TRIANGULAR,8000,Hits@1,60.0 ± 41.83,60.0,"[40.0, 60.0, 20.0]","[22.36, 41.83, 27.39]",20.00 ± 27.39
RegularTilling.TRIANGULAR,8000,Hits@5,100.0 ± 0.0,100.0,"[100.0, 100.0, 100.0]","[0.0, 0.0, 0.0]",100.00 ± 0.00
RegularTilling.TRIANGULAR,8000,Hits@50,100.0 ± 0.0,100.0,"[100.0, 100.0, 100.0]","[0.0, 0.0, 0.0]",100.00 ± 0.00
RegularTilling.TRIANGULAR,8000,Hits@100,100.0 ± 0.0,100.0,"[100.0, 100.0, 100.0]","[0.0, 0.0, 0.0]",100.00 ± 0.00
RegularTilling.TRIANGULAR,8000,MRR,100.0 ± 0.0,100.0,"[85.0, 100.0, 80.0]","[22.36, 0.0, 11.18]",80.00 ± 11.18
RegularTilling.TRIANGULAR,8000,AUC,70.0 ± 32.6,70.0,"[65.0, 70.0, 55.0]","[13.69, 32.6, 20.92]",55.00 ± 20.92
RegularTilling.TRIANGULAR,8000,AP,81.67 ± 20.75,81.67,"[76.66, 81.67, 66.66]","[10.87, 20.75, 15.59]",66.66 ± 15.59
