data_name,num_node,Metric,Best Valid,Best Valid Mean,Mean List,Variance List,Test Result
RegularTilling.TRIANGULAR,8000,Hits@1,30.0 ± 44.72,30.0,"[30.0, 30.0, 40.0]","[27.39, 44.72, 41.83]",40.00 ± 41.83
RegularTilling.TRIANGULAR,8000,Hits@5,100.0 ± 0.0,100.0,"[100.0, 100.0, 100.0]","[0.0, 0.0, 0.0]",100.00 ± 0.00
RegularTilling.TRIANGULAR,8000,Hits@50,100.0 ± 0.0,100.0,"[100.0, 100.0, 100.0]","[0.0, 0.0, 0.0]",100.00 ± 0.00
RegularTilling.TRIANGULAR,8000,Hits@100,100.0 ± 0.0,100.0,"[100.0, 100.0, 100.0]","[0.0, 0.0, 0.0]",100.00 ± 0.00
RegularTilling.TRIANGULAR,8000,MRR,95.0 ± 11.18,95.0,"[65.0, 95.0, 75.0]","[22.36, 11.18, 25.0]",75.00 ± 25.00
RegularTilling.TRIANGULAR,8000,AUC,35.0 ± 48.73,35.0,"[45.0, 35.0, 50.0]","[32.6, 48.73, 39.53]",50.00 ± 39.53
RegularTilling.TRIANGULAR,8000,AP,61.67 ± 28.01,61.67,"[66.67, 61.67, 70.0]","[19.54, 28.01, 24.01]",70.00 ± 24.01
