Automorphism Ratio (A_r1),A_r_norm_2,A_r_norm_1,Number of Unique Groups (C_auto),Automorphism Entropy (H_auto),Automorphism Ratio (A_r_log),num_nodes,H_auto_normalized,data_name

0.52,0.8580016718173995,0.7160033436347992,4,0.9404479846553264,-0.28399665636520094,10,0.40843137025284226,GraphType.BARABASI_ALBERT
0.0712,0.713119998409214,0.4262399968184283,60,3.5547133716053185,-0.5737600031815719,100,0.7718962010179465,GraphType.BARABASI_ALBERT
0.0036,0.5067464916025542,0.0134929832051085,292,5.660449191343433,-0.9865070167948915,300,0.992402711094732,GraphType.BARABASI_ALBERT
0.002,0.5,0.0,500,6.214607598422317,-1.0,500,0.9999999195444239,GraphType.BARABASI_ALBERT
0.00125,0.5,0.0,800,6.6846109276682455,-1.0,800,0.9999998803221916,GraphType.BARABASI_ALBERT
0.001,0.5,0.0,1000,6.907754278982635,-1.0,1000,0.9999998552352448,GraphType.BARABASI_ALBERT
