Automorphism Ratio (A_r1),A_r_norm_2,A_r_norm_1,Number of Unique Groups (C_auto),Automorphism Entropy (H_auto),Automorphism Ratio (A_r_log),num_nodes,H_auto_normalized,data_name
0.12,0.5395906230238123,0.07918124604762489,9,2.1639556478820565,-0.9208187539523752,10,0.9397939969585533,GraphType.TREE
0.0374,0.64321790055012,0.28643580110024014,70,3.909404250021756,-0.71356419889976,100,0.8489163466567846,GraphType.TREE
0.0374,0.64321790055012,0.28643580110024014,70,3.909404250021756,-0.71356419889976,100,0.8489163466567846,GraphType.TREE
