Automorphism Ratio (A_r1),A_r_norm_2,A_r_norm_1,Number of Unique Groups (C_auto),Automorphism Ratio (A_r_log),num_nodes,automorphism_score,head,intra_ratio
0.05809145831924229,0.8344946318499696,0.668989263699939,2623,-0.3310107363000608,5416,0.5156942392909897,Cora_inter0.5_intra0.0_edges1000,0.0
0.05705317577548006,0.8334457393164827,0.6668914786329652,2665,-0.33310852136703467,5416,0.5079394387001477,Cora_inter0.5_intra0.1_edges1000,0.1
0.05705317577548006,0.8334457393164827,0.6668914786329652,2665,-0.33310852136703467,5416,0.5079394387001477,Cora_inter0.5_intra0.2_edges1000,0.2
0.05705317577548006,0.8334457393164827,0.6668914786329652,2665,-0.33310852136703467,5416,0.5079394387001477,Cora_inter0.5_intra0.3_edges1000,0.3
0.05705317577548006,0.8334457393164827,0.6668914786329652,2665,-0.33310852136703467,5416,0.5079394387001477,Cora_inter0.5_intra0.4_edges1000,0.4
0.05705317577548006,0.8334457393164827,0.6668914786329652,2665,-0.33310852136703467,5416,0.5079394387001477,Cora_inter0.5_intra0.5_edges1000,0.5
0.05705317577548006,0.8334457393164827,0.6668914786329652,2665,-0.33310852136703467,5416,0.5079394387001477,Cora_inter0.5_intra0.6_edges1000,0.6
0.05705317577548006,0.8334457393164827,0.6668914786329652,2665,-0.33310852136703467,5416,0.5079394387001477,Cora_inter0.5_intra0.7_edges1000,0.7
0.05705317577548006,0.8334457393164827,0.6668914786329652,2665,-0.33310852136703467,5416,0.5079394387001477,Cora_inter0.5_intra0.8_edges1000,0.8
0.05705317577548006,0.8334457393164827,0.6668914786329652,2665,-0.33310852136703467,5416,0.5079394387001477,Cora_inter0.5_intra0.9_edges1000,0.9
0.05705317577548006,0.8334457393164827,0.6668914786329652,2665,-0.33310852136703467,5416,0.5079394387001477,Cora_inter0.5_intra1.0_edges1000,1.0
0.05835777901900163,0.8347606531467154,0.6695213062934307,2611,-0.33047869370656907,5416,0.5179098966026587,Cora_inter0.5_intra0.0_edges1000,0.0
0.05705317577548006,0.8334457393164827,0.6668914786329652,2665,-0.33310852136703467,5416,0.5079394387001477,Cora_inter0.5_intra0.1_edges1000,0.1
0.05705317577548006,0.8334457393164827,0.6668914786329652,2665,-0.33310852136703467,5416,0.5079394387001477,Cora_inter0.5_intra0.2_edges1000,0.2
0.05705317577548006,0.8334457393164827,0.6668914786329652,2665,-0.33310852136703467,5416,0.5079394387001477,Cora_inter0.5_intra0.3_edges1000,0.3
0.05705317577548006,0.8334457393164827,0.6668914786329652,2665,-0.33310852136703467,5416,0.5079394387001477,Cora_inter0.5_intra0.4_edges1000,0.4
0.05705317577548006,0.8334457393164827,0.6668914786329652,2665,-0.33310852136703467,5416,0.5079394387001477,Cora_inter0.5_intra0.5_edges1000,0.5
0.05705317577548006,0.8334457393164827,0.6668914786329652,2665,-0.33310852136703467,5416,0.5079394387001477,Cora_inter0.5_intra0.6_edges1000,0.6
0.05705317577548006,0.8334457393164827,0.6668914786329652,2665,-0.33310852136703467,5416,0.5079394387001477,Cora_inter0.5_intra0.7_edges1000,0.7
0.05705317577548006,0.8334457393164827,0.6668914786329652,2665,-0.33310852136703467,5416,0.5079394387001477,Cora_inter0.5_intra0.8_edges1000,0.8
0.05705317577548006,0.8334457393164827,0.6668914786329652,2665,-0.33310852136703467,5416,0.5079394387001477,Cora_inter0.5_intra0.9_edges1000,0.9
0.05705317577548006,0.8334457393164827,0.6668914786329652,2665,-0.33310852136703467,5416,0.5079394387001477,Cora_inter0.5_intra1.0_edges1000,1.0
0.05615398545586249,0.8325218196104305,0.6650436392208608,2712,-0.33495636077913904,5416,0.4992614475627769,Cora_inter0.5_intra0.0_edges1000,0.0
0.05705317577548006,0.8334457393164827,0.6668914786329652,2665,-0.33310852136703467,5416,0.5079394387001477,Cora_inter0.5_intra0.1_edges1000,0.1
0.05705317577548006,0.8334457393164827,0.6668914786329652,2665,-0.33310852136703467,5416,0.5079394387001477,Cora_inter0.5_intra0.2_edges1000,0.2
0.05705317577548006,0.8334457393164827,0.6668914786329652,2665,-0.33310852136703467,5416,0.5079394387001477,Cora_inter0.5_intra0.3_edges1000,0.3
0.05705317577548006,0.8334457393164827,0.6668914786329652,2665,-0.33310852136703467,5416,0.5079394387001477,Cora_inter0.5_intra0.4_edges1000,0.4
0.05705317577548006,0.8334457393164827,0.6668914786329652,2665,-0.33310852136703467,5416,0.5079394387001477,Cora_inter0.5_intra0.5_edges1000,0.5
0.05705317577548006,0.8334457393164827,0.6668914786329652,2665,-0.33310852136703467,5416,0.5079394387001477,Cora_inter0.5_intra0.6_edges1000,0.6
0.05705317577548006,0.8334457393164827,0.6668914786329652,2665,-0.33310852136703467,5416,0.5079394387001477,Cora_inter0.5_intra0.7_edges1000,0.7
0.05705317577548006,0.8334457393164827,0.6668914786329652,2665,-0.33310852136703467,5416,0.5079394387001477,Cora_inter0.5_intra0.8_edges1000,0.8
0.05705317577548006,0.8334457393164827,0.6668914786329652,2665,-0.33310852136703467,5416,0.5079394387001477,Cora_inter0.5_intra0.9_edges1000,0.9
0.05705317577548006,0.8334457393164827,0.6668914786329652,2665,-0.33310852136703467,5416,0.5079394387001477,Cora_inter0.5_intra1.0_edges1000,1.0
0.05722574558886739,0.8336213886075293,0.6672427772150585,2620,-0.3327572227849413,5416,0.516248153618907,Cora_inter0.5_intra0.0_edges1000,0.0
0.05705317577548006,0.8334457393164827,0.6668914786329652,2665,-0.33310852136703467,5416,0.5079394387001477,Cora_inter0.5_intra0.1_edges1000,0.1
