batch_size,gnnlr,prelr,Hits@100
16384,0.0001,0.1,0.8121
16384,0.0001,0.01,0.8121
16384,0.0001,0.001,0.814
16384,0.0001,0.0001,0.814
8192,0.0001,0.1,0.8368
8192,0.0001,0.01,0.8368
8192,0.0001,0.001,0.8368
8192,0.0001,0.0001,0.8368
4096,0.0001,0.1,0.8368
4096,0.0001,0.01,0.8368
4096,0.0001,0.001,0.8368
4096,0.0001,0.0001,0.8368
