Metric,batch_size,gnnlr,prelr,Hits@50
fa4f1i51,2048,0.0001,0.01,0.5344
mkbn2u8g,2048,0.0001,0.001,0.5344
q83dp1c3,2048,0.0001,0.0003,0.5344
ix9wx807,1024,0.0001,0.01,0.5344
d3jeziyw,1024,0.0001,0.001,0.5344
Best,2048,0.0001,0.01,0.5344
