Metric,CN_Mean,CN_Var,RA_Mean,RA_Var,AA_Mean,AA_Var
Hits@20,0.13260000000000002,7.703719777548943e-34,0.2564000000000001,3.0814879110195774e-33,0.14959999999999998,7.703719777548943e-34
Hits@50,0.19670000000000004,7.703719777548943e-34,0.38810000000000006,3.0814879110195774e-33,0.2183,0.0
Hits@100,0.2765,0.0,0.49329999999999996,3.0814879110195774e-33,0.3245,0.0
AUC,0.9722000000000002,4.930380657631324e-32,0.9724000000000002,1.232595164407831e-32,0.9723,0.0
AP,0.9723,0.0,0.9726000000000001,1.232595164407831e-32,0.9724999999999999,1.232595164407831e-32
