Metric,CN_Mean,CN_Var,RA_Mean,RA_Var,AA_Mean,AA_Var
Hits@20,0.1773,0.0,0.06230000000000001,4.81482486096809e-35,0.18609999999999996,7.703719777548943e-34
Hits@50,0.26509999999999995,3.0814879110195774e-33,0.1914,0.0,0.27070000000000005,3.0814879110195774e-33
Hits@100,0.34520000000000006,3.0814879110195774e-33,0.31170000000000003,3.0814879110195774e-33,0.36350000000000005,3.0814879110195774e-33
AUC,0.952,0.0,0.9650999999999998,1.232595164407831e-32,0.9543000000000001,1.232595164407831e-32
AP,0.9663999999999999,1.232595164407831e-32,0.9751999999999998,1.232595164407831e-32,0.9682999999999999,1.232595164407831e-32
