Metric,CN,RA,AA
Hits@20,0.1326,0.2564,0.1496
Hits@50,0.1967,0.3881,0.2183
Hits@100,0.2765,0.4933,0.3245
AUC,0.9722,0.9724,0.9723
AP,0.9723,0.9726,0.9725
