Metric,Hits@20,Hits@50,Hits@100,AUC,AP
_rand1.0,18.72 ± 1.58,26.91 ± 1.26,35.74 ± 1.03,98.44 ± 0.10,96.69 ± 0.16
_rand1.0,18.56 ± 1.11,27.17 ± 1.09,36.13 ± 1.07,98.46 ± 0.08,96.74 ± 0.13
_rand1.0,14.46 ± 0.56,21.08 ± 0.84,28.54 ± 0.93,96.25 ± 0.20,93.19 ± 0.36
_rand1.0,14.46 ± 0.56,21.08 ± 0.84,28.54 ± 0.93,96.25 ± 0.20,93.19 ± 0.36
_rand1.0,13.17 ± 1.88,23.17 ± 1.35,33.88 ± 2.00,98.67 ± 0.08,97.00 ± 0.15
_rand1.0,13.17 ± 1.88,23.17 ± 1.35,33.88 ± 2.00,98.67 ± 0.08,97.00 ± 0.15
_rand1.0,11.98 ± 1.06,21.18 ± 1.58,31.69 ± 1.40,98.41 ± 0.03,96.58 ± 0.08
_rand1.0,12.04 ± 0.95,20.97 ± 1.54,30.58 ± 1.26,98.34 ± 0.11,96.45 ± 0.20
Best,18.72 ± 1.58,27.17 ± 1.09,36.13 ± 1.07,98.67 ± 0.08,97.00 ± 0.15
