Metric,Hits@20,Hits@50,Hits@100,AUC,AP
ddi_GCN_mlp_score_sampling1.0_rand1.0,0.00 ± nan,0.00 ± nan,0.00 ± nan,50.00 ± nan,58.27 ± nan
ddi_GCN_mlp_score_sampling1.0_rand1.0,0.00 ± nan,0.00 ± nan,0.00 ± nan,50.00 ± nan,58.27 ± nan
ddi_GIN_mlp_score_sampling1.0_rand1.0,3.63 ± nan,5.15 ± nan,7.25 ± nan,86.84 ± nan,89.58 ± nan
ddi_GIN_mlp_score_sampling1.0_rand1.0,3.63 ± nan,5.15 ± nan,7.25 ± nan,86.84 ± nan,89.58 ± nan
ddi_SAGE_mlp_score_sampling1.0_rand1.0,7.24 ± nan,11.47 ± nan,18.05 ± nan,97.01 ± nan,97.31 ± nan
ddi_SAGE_mlp_score_sampling1.0_rand1.0,7.24 ± nan,11.47 ± nan,18.05 ± nan,97.01 ± nan,97.31 ± nan
ddi_GAT_mlp_score_sampling1.0_rand1.0,5.15 ± nan,10.57 ± nan,18.47 ± nan,97.04 ± nan,97.34 ± nan
ddi_GAT_mlp_score_sampling1.0_rand1.0,2.98 ± nan,6.90 ± nan,13.72 ± nan,96.99 ± nan,97.23 ± nan
Best,7.24 ± nan,6.90 ± nan,7.25 ± nan,97.04 ± nan,97.34 ± nan
