Metric,Hits@20,Hits@50,Hits@100,AUC,AP
_rand0.044,8.08 ± 0.41,15.72 ± 0.22,23.97 ± 0.14,98.04 ± 0.04,97.83 ± 0.05
_rand0.044,12.15 ± 2.31,18.60 ± 3.38,26.77 ± 3.03,91.64 ± 1.27,92.20 ± 0.98
_rand0.044,2.18 ± 0.28,4.48 ± 0.27,8.40 ± 0.48,96.83 ± 0.07,96.49 ± 0.08
_rand0.044,8.08 ± 0.37,15.81 ± 0.55,23.87 ± 0.18,98.05 ± 0.03,97.84 ± 0.03
_rand0.044,12.15 ± 2.31,18.60 ± 3.38,26.77 ± 3.03,91.64 ± 1.27,92.20 ± 0.98
_rand0.044,2.18 ± 0.28,4.48 ± 0.27,8.40 ± 0.48,96.83 ± 0.07,96.49 ± 0.08
Best,8.08 ± 0.41,4.48 ± 0.27,8.40 ± 0.48,98.05 ± 0.03,97.84 ± 0.03
