Metric,Hits@1,MRR,AUC,AP
Cora_inter0.50_intra0.60_total6667_Orbits_4528.00_Ar1_0.45_ArScore_0.16,0.71 ± 0.34,2.37 ± 0.78,66.30 ± 13.14,67.94 ± 10.52
Cora_inter0.50_intra0.60_total10000_Orbits_4890.00_Ar1_0.35_ArScore_0.10,1.75 ± 0.94,3.04 ± 1.18,63.45 ± 11.98,65.52 ± 9.69
Cora_inter0.50_intra0.70_total0_Orbits_1007.00_Ar1_0.72_ArScore_0.81,2.94 ± 1.42,6.79 ± 1.82,76.79 ± 6.06,78.87 ± 3.96
Cora_inter0.50_intra0.70_total3332_Orbits_3712.00_Ar1_0.57_ArScore_0.31,1.84 ± 0.81,4.00 ± 0.79,73.20 ± 6.34,74.52 ± 4.09
Cora_inter0.50_intra0.70_total6667_Orbits_4528.00_Ar1_0.45_ArScore_0.16,0.71 ± 0.34,2.37 ± 0.78,66.30 ± 13.14,67.94 ± 10.52
Cora_inter0.50_intra0.70_total10000_Orbits_4890.00_Ar1_0.35_ArScore_0.10,1.75 ± 0.94,3.04 ± 1.18,63.45 ± 11.98,65.52 ± 9.69


Cora_inter0.50_intra0.90_total0_Orbits_1007.00_Ar1_0.72_ArScore_0.81,2.94 ± 1.42,6.79 ± 1.82,76.79 ± 6.06,78.87 ± 3.96
Cora_inter0.50_intra0.90_total3332_Orbits_3712.00_Ar1_0.57_ArScore_0.31,1.84 ± 0.81,4.00 ± 0.79,73.20 ± 6.34,74.52 ± 4.09
Cora_inter0.50_intra0.90_total6667_Orbits_4528.00_Ar1_0.45_ArScore_0.16,0.71 ± 0.34,2.37 ± 0.78,66.30 ± 13.14,67.94 ± 10.52
Cora_inter0.50_intra0.90_total10000_Orbits_4890.00_Ar1_0.35_ArScore_0.10,1.75 ± 0.94,3.04 ± 1.18,63.45 ± 11.98,65.52 ± 9.69

Cora_inter0.00_intra0.00_total0_Ar1_0.72_ArScore_0.86,0.79 ± 0.58,5.18 ± 0.80,79.46 ± 1.90,80.36 ± 0.69
Cora_inter0.10_intra0.50_total50_Ar1_0.71_ArScore_0.86,1.61 ± 0.93,4.48 ± 0.55,79.37 ± 0.68,79.93 ± 0.19
Cora_inter0.10_intra0.50_total250_Ar1_0.70_ArScore_0.85,2.53 ± 1.81,6.77 ± 0.66,80.31 ± 1.03,81.16 ± 0.04
Cora_inter0.10_intra0.50_total1000_Ar1_0.67_ArScore_0.83,1.27 ± 0.94,4.26 ± 0.84,78.51 ± 1.29,78.76 ± 0.04
Cora_inter0.10_intra0.50_total1750_Ar1_0.63_ArScore_0.81,1.78 ± 0.21,4.99 ± 0.01,78.07 ± 1.34,79.24 ± 0.33
Cora_inter0.10_intra0.50_total3000_Ar1_0.57_ArScore_0.79,1.75 ± 0.54,4.41 ± 0.40,75.69 ± 2.71,76.76 ± 0.96
Cora_inter0.10_intra0.50_total4500_Ar1_0.50_ArScore_0.75,3.33 ± 2.18,6.29 ± 2.42,74.31 ± 2.37,75.82 ± 0.59
Cora_inter0.10_intra0.50_total7000_Ar1_0.38_ArScore_0.69,2.22 ± 0.59,5.10 ± 0.44,74.26 ± 1.19,75.85 ± 0.55
Cora_inter1.00_intra0.50_total5000_Orbits_3342.00_Ar1_0.59_ArScore_0.38,1.51 ± 0.58,3.11 ± 0.58,69.70 ± 9.27,71.05 ± 6.88
Cora_inter0.50_intra0.80_total3332_Orbits_3712.00_Ar1_0.57_ArScore_0.31,1.84 ± 0.81,4.00 ± 0.79,73.20 ± 6.34,74.52 ± 4.09
Cora_inter0.50_intra0.80_total6667_Orbits_4528.00_Ar1_0.45_ArScore_0.16,0.71 ± 0.34,2.37 ± 0.78,66.30 ± 13.14,67.94 ± 10.52
Cora_inter0.50_intra0.80_total10000_Orbits_4890.00_Ar1_0.35_ArScore_0.10,1.75 ± 0.94,3.04 ± 1.18,63.45 ± 11.98,65.52 ± 9.69
