Metric,Hits@1,MRR,AUC,AP
Cora_inter0.90_intra0.50_total1000_Orbits_2575.00_ArScore_0.52,1.30 ± 1.19,4.20 ± 0.74,77.93 ± 0.95,78.80 ± 0.86
Cora_inter0.90_intra0.50_total1750_Orbits_2870.00_ArScore_0.47,2.45 ± 1.39,4.35 ± 0.31,76.65 ± 3.79,77.88 ± 1.82
Cora_inter0.90_intra0.50_total3000_Orbits_3217.00_ArScore_0.41,0.73 ± 0.32,4.45 ± 0.11,75.57 ± 2.09,76.41 ± 0.82
Cora_inter0.90_intra0.50_total4500_Orbits_3524.00_ArScore_0.35,3.37 ± 0.76,5.01 ± 0.49,74.21 ± 1.35,75.42 ± 0.45
Cora_inter0.90_intra0.50_total7000_Orbits_3757.00_ArScore_0.31,2.50 ± 2.22,3.75 ± 0.13,72.05 ± 1.71,72.68 ± 1.01
Cora_inter0.90_intra0.50_total8500_Orbits_3903.00_ArScore_0.28,1.29 ± 0.10,2.58 ± 0.03,69.47 ± 2.81,70.46 ± 1.34
Cora_inter0.00_intra0.00_total0_Orbits_1007.00_ArScore_0.81,1.71 ± 1.69,5.45 ± 1.36,75.78 ± 8.23,77.43 ± 5.36
Cora_inter0.90_intra0.50_total0_Orbits_1007.00_ArScore_0.81,2.94 ± 1.42,6.79 ± 1.82,76.79 ± 6.06,78.87 ± 3.96
Cora_inter0.90_intra0.50_total3332_Orbits_3267.00_ArScore_0.40,0.39 ± 0.22,2.96 ± 0.31,70.35 ± 9.04,72.19 ± 6.18
Cora_inter0.90_intra0.50_total6667_Orbits_3791.00_ArScore_0.30,0.92 ± 0.42,2.45 ± 0.76,65.51 ± 13.03,67.50 ± 10.50
Cora_inter0.90_intra0.50_total10000_Orbits_4016.00_ArScore_0.26,0.34 ± 0.26,1.64 ± 0.53,64.32 ± 9.84,65.71 ± 7.40
Cora_inter0.00_intra0.00_total0_Orbits_1007.00_ArScore_0.81,1.71 ± 1.69,5.45 ± 1.36,75.78 ± 8.23,77.43 ± 5.36
Cora_inter0.00_intra0.50_total0_Orbits_1007.00_ArScore_0.81,2.94 ± 1.42,6.79 ± 1.82,76.79 ± 6.06,78.87 ± 3.96
Cora_inter0.00_intra0.50_total3332_Orbits_1007.00_ArScore_0.81,2.94 ± 1.42,6.79 ± 1.82,76.79 ± 6.06,78.87 ± 3.96
Cora_inter0.00_intra0.50_total6667_Orbits_1007.00_ArScore_0.81,2.94 ± 1.42,6.79 ± 1.82,76.79 ± 6.06,78.87 ± 3.96
Cora_inter0.00_intra0.50_total10000_Orbits_1007.00_ArScore_0.81,2.94 ± 1.42,6.79 ± 1.82,76.79 ± 6.06,78.87 ± 3.96
Cora_inter0.10_intra0.50_total0_Orbits_1007.00_ArScore_0.81,2.94 ± 1.42,6.79 ± 1.82,76.79 ± 6.06,78.87 ± 3.96
Cora_inter0.10_intra0.50_total3332_Orbits_3946.00_ArScore_0.27,1.50 ± 0.78,4.60 ± 1.77,71.58 ± 11.32,73.61 ± 8.46
Cora_inter0.10_intra0.50_total6667_Orbits_4826.00_ArScore_0.11,1.54 ± 0.66,4.05 ± 0.79,69.44 ± 9.07,72.36 ± 6.66
Cora_inter0.10_intra0.50_total10000_Orbits_5141.00_ArScore_0.05,1.16 ± 0.55,3.18 ± 1.12,65.67 ± 12.59,68.10 ± 10.26
Cora_inter0.20_intra0.50_total0_Orbits_1007.00_ArScore_0.81,2.94 ± 1.42,6.79 ± 1.82,76.79 ± 6.06,78.87 ± 3.96
Cora_inter0.20_intra0.50_total3332_Orbits_3912.00_ArScore_0.28,3.22 ± 1.75,5.90 ± 2.29,71.95 ± 11.86,73.91 ± 8.77
Cora_inter0.20_intra0.50_total6667_Orbits_4794.00_ArScore_0.11,2.10 ± 0.48,4.05 ± 0.72,69.73 ± 7.79,72.19 ± 5.30
Cora_inter0.20_intra0.50_total10000_Orbits_5094.00_ArScore_0.06,1.26 ± 0.87,2.43 ± 1.06,63.68 ± 12.99,65.68 ± 10.81
Cora_inter0.30_intra0.50_total0_Orbits_1007.00_ArScore_0.81,2.94 ± 1.42,6.79 ± 1.82,76.79 ± 6.06,78.87 ± 3.96
Cora_inter0.30_intra0.50_total3332_Orbits_3863.00_ArScore_0.29,0.87 ± 0.30,3.20 ± 0.48,69.76 ± 11.61,71.68 ± 8.76
Cora_inter0.30_intra0.50_total6667_Orbits_4722.00_ArScore_0.13,1.56 ± 0.70,3.80 ± 1.46,67.58 ± 13.10,69.71 ± 10.50
Cora_inter0.30_intra0.50_total10000_Orbits_5027.00_ArScore_0.07,0.73 ± 0.31,1.97 ± 0.68,64.45 ± 12.43,65.98 ± 10.17

Cora_inter0.40_intra0.50_total0_Orbits_1007.00_ArScore_0.81,2.94 ± 1.42,6.79 ± 1.82,76.79 ± 6.06,78.87 ± 3.96
Cora_inter0.40_intra0.50_total3332_Orbits_3806.00_ArScore_0.30,1.43 ± 0.65,3.54 ± 0.78,69.80 ± 11.10,71.79 ± 8.26
Cora_inter0.40_intra0.50_total6667_Orbits_4645.00_ArScore_0.14,0.92 ± 0.54,3.75 ± 0.70,69.21 ± 9.06,71.69 ± 6.80
Cora_inter0.40_intra0.50_total10000_Orbits_4969.00_ArScore_0.08,0.26 ± 0.21,1.90 ± 0.86,63.59 ± 14.48,65.57 ± 12.20

Cora_inter0.50_intra0.50_total0_Orbits_1007.00_ArScore_0.81,2.94 ± 1.42,6.79 ± 1.82,76.79 ± 6.06,78.87 ± 3.96
Cora_inter0.50_intra0.50_total3332_Orbits_3712.00_ArScore_0.31,1.84 ± 0.81,4.00 ± 0.79,73.20 ± 6.34,74.52 ± 4.09
Cora_inter0.50_intra0.50_total6667_Orbits_4528.00_ArScore_0.16,0.71 ± 0.34,2.37 ± 0.78,66.30 ± 13.14,67.94 ± 10.52
Cora_inter0.50_intra0.50_total10000_Orbits_4890.00_ArScore_0.10,1.75 ± 0.94,3.04 ± 1.18,63.45 ± 11.98,65.52 ± 9.69

Cora_inter0.60_intra0.50_total0_Orbits_1007.00_ArScore_0.81,2.94 ± 1.42,6.79 ± 1.82,76.79 ± 6.06,78.87 ± 3.96
Cora_inter0.60_intra0.50_total3332_Orbits_3616.00_ArScore_0.33,4.26 ± 1.71,6.48 ± 1.97,71.31 ± 10.23,73.29 ± 7.17
Cora_inter0.60_intra0.50_total6667_Orbits_4381.00_ArScore_0.19,1.21 ± 0.55,3.52 ± 1.11,67.06 ± 13.59,69.71 ± 11.02
Cora_inter0.60_intra0.50_total10000_Orbits_4777.00_ArScore_0.12,0.62 ± 0.36,2.02 ± 0.85,63.21 ± 12.67,65.18 ± 10.57

Cora_inter0.70_intra0.50_total0_Orbits_1007.00_ArScore_0.81,2.94 ± 1.42,6.79 ± 1.82,76.79 ± 6.06,78.87 ± 3.96
Cora_inter0.70_intra0.50_total3332_Orbits_3519.00_ArScore_0.35,1.68 ± 1.08,4.32 ± 0.85,71.63 ± 7.56,73.29 ± 5.24
Cora_inter0.70_intra0.50_total6667_Orbits_4218.00_ArScore_0.22,1.46 ± 0.69,3.53 ± 1.18,66.85 ± 13.42,69.61 ± 10.82
Cora_inter0.70_intra0.50_total10000_Orbits_4597.00_ArScore_0.15,0.85 ± 0.70,1.93 ± 0.84,62.66 ± 12.58,64.65 ± 10.23

Cora_inter0.80_intra0.50_total0_Orbits_1007.00_ArScore_0.81,2.94 ± 1.42,6.79 ± 1.82,76.79 ± 6.06,78.87 ± 3.96
Cora_inter0.80_intra0.50_total3332_Orbits_3438.00_ArScore_0.37,1.72 ± 1.06,3.62 ± 1.05,69.80 ± 11.91,71.52 ± 8.92
Cora_inter0.80_intra0.50_total6667_Orbits_4052.00_ArScore_0.25,1.97 ± 1.17,3.34 ± 1.31,65.36 ± 12.25,67.32 ± 9.77
Cora_inter0.80_intra0.50_total10000_Orbits_4371.00_ArScore_0.19,0.22 ± 0.26,1.55 ± 0.25,64.45 ± 8.76,66.23 ± 6.35

Cora_inter0.90_intra0.50_total0_Orbits_1007.00_ArScore_0.81,2.94 ± 1.42,6.79 ± 1.82,76.79 ± 6.06,78.87 ± 3.96
Cora_inter0.90_intra0.50_total3332_Orbits_3267.00_ArScore_0.40,0.39 ± 0.22,2.96 ± 0.31,70.35 ± 9.04,72.19 ± 6.18
Cora_inter0.90_intra0.50_total6667_Orbits_3791.00_ArScore_0.30,0.92 ± 0.42,2.45 ± 0.76,65.51 ± 13.03,67.50 ± 10.50
Cora_inter0.90_intra0.50_total10000_Orbits_4016.00_ArScore_0.26,0.34 ± 0.26,1.64 ± 0.53,64.32 ± 9.84,65.71 ± 7.40

Cora_inter1.00_intra0.50_total0_Orbits_1007.00_ArScore_0.81,2.94 ± 1.42,6.79 ± 1.82,76.79 ± 6.06,78.87 ± 3.96
Cora_inter1.00_intra0.50_total3332_Orbits_3120.00_ArScore_0.42,1.87 ± 0.82,4.18 ± 0.91,71.59 ± 7.41,73.41 ± 5.04
Cora_inter1.00_intra0.50_total6667_Orbits_3460.00_ArScore_0.36,0.40 ± 0.19,1.83 ± 0.57,65.29 ± 13.54,66.64 ± 10.80
Cora_inter1.00_intra0.50_total10000_Orbits_3590.00_ArScore_0.34,0.64 ± 0.42,1.78 ± 0.23,69.47 ± 0.29,68.75 ± 0.20

Cora_inter0.00_intra0.00_total0_Orbits_1007.00_ArScore_0.81,1.71 ± 1.69,5.45 ± 1.36,75.78 ± 8.23,77.43 ± 5.36
Cora_inter0.00_intra0.00_total0_Orbits_1007.00_ArScore_0.81,1.71 ± 1.69,5.45 ± 1.36,75.78 ± 8.23,77.43 ± 5.36
Cora_inter0.00_intra0.50_total5000_Orbits_1007.00_ArScore_0.81,2.94 ± 1.42,6.79 ± 1.82,76.79 ± 6.06,78.87 ± 3.96
Cora_inter0.10_intra0.50_total5000_Orbits_4520.00_ArScore_0.17,1.42 ± 0.59,3.76 ± 0.89,70.33 ± 10.40,72.25 ± 7.63
Cora_inter0.20_intra0.50_total5000_Orbits_4479.00_ArScore_0.17,1.02 ± 0.39,3.89 ± 0.59,69.49 ± 9.96,71.87 ± 6.99
Cora_inter0.30_intra0.50_total5000_Orbits_4405.00_ArScore_0.19,1.12 ± 0.80,3.17 ± 0.75,68.88 ± 10.00,70.86 ± 7.57
Cora_inter0.40_intra0.50_total5000_Orbits_4260.00_ArScore_0.21,2.13 ± 1.46,4.93 ± 1.44,69.41 ± 9.39,71.91 ± 6.73
Cora_inter0.50_intra0.50_total5000_Orbits_4175.00_ArScore_0.23,1.43 ± 0.89,3.27 ± 0.48,70.50 ± 7.20,72.52 ± 4.73
Cora_inter0.60_intra0.50_total5000_Orbits_4030.00_ArScore_0.26,0.54 ± 0.56,2.69 ± 0.32,69.74 ± 7.83,71.93 ± 5.35
Cora_inter0.70_intra0.50_total5000_Orbits_3894.00_ArScore_0.28,2.21 ± 1.09,4.48 ± 1.31,68.90 ± 12.25,70.77 ± 9.08
Cora_inter0.80_intra0.50_total5000_Orbits_3722.00_ArScore_0.31,1.84 ± 1.42,4.30 ± 0.87,68.78 ± 9.76,71.09 ± 6.82
Cora_inter0.90_intra0.50_total5000_Orbits_3542.00_ArScore_0.35,1.01 ± 0.62,3.40 ± 1.34,66.85 ± 14.00,68.91 ± 11.46
Cora_inter1.00_intra0.50_total5000_Orbits_3342.00_ArScore_0.38,1.51 ± 0.58,3.11 ± 0.58,69.70 ± 9.27,71.05 ± 6.88


Cora_inter0.00_intra0.00_total0_Orbits_1007.00_Ar1_0.72_ArScore_0.81,1.71 ± 1.69,5.45 ± 1.36,75.78 ± 8.23,77.43 ± 5.36
Cora_inter0.00_intra0.50_total5000_Orbits_1007.00_Ar1_0.72_ArScore_0.81,2.94 ± 1.42,6.79 ± 1.82,76.79 ± 6.06,78.87 ± 3.96
Cora_inter0.10_intra0.50_total5000_Orbits_4520.00_Ar1_0.46_ArScore_0.17,1.42 ± 0.59,3.76 ± 0.89,70.33 ± 10.40,72.25 ± 7.63
Cora_inter0.20_intra0.50_total5000_Orbits_4479.00_Ar1_0.46_ArScore_0.17,1.02 ± 0.39,3.89 ± 0.59,69.49 ± 9.96,71.87 ± 6.99
Cora_inter0.30_intra0.50_total5000_Orbits_4405.00_Ar1_0.47_ArScore_0.19,1.12 ± 0.80,3.17 ± 0.75,68.88 ± 10.00,70.86 ± 7.57
Cora_inter0.40_intra0.50_total5000_Orbits_4260.00_Ar1_0.49_ArScore_0.21,2.13 ± 1.46,4.93 ± 1.44,69.41 ± 9.39,71.91 ± 6.73
Cora_inter0.50_intra0.50_total5000_Orbits_4175.00_Ar1_0.51_ArScore_0.23,1.43 ± 0.89,3.27 ± 0.48,70.50 ± 7.20,72.52 ± 4.73
Cora_inter0.60_intra0.50_total5000_Orbits_4030.00_Ar1_0.52_ArScore_0.26,0.54 ± 0.56,2.69 ± 0.32,69.74 ± 7.83,71.93 ± 5.35
Cora_inter0.70_intra0.50_total5000_Orbits_3894.00_Ar1_0.54_ArScore_0.28,2.21 ± 1.09,4.48 ± 1.31,68.90 ± 12.25,70.77 ± 9.08
Cora_inter0.80_intra0.50_total5000_Orbits_3722.00_Ar1_0.56_ArScore_0.31,1.84 ± 1.42,4.30 ± 0.87,68.78 ± 9.76,71.09 ± 6.82
Cora_inter0.90_intra0.50_total5000_Orbits_3542.00_Ar1_0.58_ArScore_0.35,1.01 ± 0.62,3.40 ± 1.34,66.85 ± 14.00,68.91 ± 11.46
Cora_inter1.00_intra0.50_total5000_Orbits_3342.00_Ar1_0.59_ArScore_0.38,1.51 ± 0.58,3.11 ± 0.58,69.70 ± 9.27,71.05 ± 6.88
