Metric,Hits@1,MRR,AUC,AP
Cora_GAT_inter0.10_intra0.50_total500_Orbits_2393.00_Norm_0.69_ArScore_0.56_lr0.01_batch1024_seed999,2.83 ± nan,17.08 ± nan,99.16 ± nan,98.72 ± nan
Cora_GAT_inter0.10_intra0.50_total1000_Orbits_2756.00_Norm_0.66_ArScore_0.49_lr0.01_batch1024_seed999,16.85 ± nan,27.80 ± nan,99.35 ± nan,99.06 ± nan
Cora_GAT_inter0.10_intra0.50_total1500_Orbits_3077.00_Norm_0.64_ArScore_0.43_lr0.01_batch1024_seed999,21.62 ± nan,34.23 ± nan,99.07 ± nan,98.92 ± nan
Cora_GAT_inter0.10_intra0.50_total2000_Orbits_3356.00_Norm_0.62_ArScore_0.38_lr0.01_batch1024_seed999,16.90 ± nan,28.87 ± nan,99.14 ± nan,98.55 ± nan
Cora_GAT_inter0.10_intra0.50_total2500_Orbits_3598.00_Norm_0.60_ArScore_0.34_lr0.01_batch1024_seed999,1.62 ± nan,13.11 ± nan,98.07 ± nan,97.75 ± nan
Cora_GAT_inter0.10_intra0.50_total3000_Orbits_3769.00_Norm_0.58_ArScore_0.30_lr0.01_batch1024_seed999,3.54 ± nan,13.26 ± nan,98.54 ± nan,97.64 ± nan
Cora_GAT_inter0.10_intra0.50_total3500_Orbits_3981.00_Norm_0.55_ArScore_0.26_lr0.01_batch1024_seed999,4.15 ± nan,13.31 ± nan,98.44 ± nan,97.64 ± nan
Cora_GAT_inter0.10_intra0.50_total4000_Orbits_4172.00_Norm_0.53_ArScore_0.23_lr0.01_batch1024_seed999,15.45 ± nan,21.39 ± nan,98.17 ± nan,97.27 ± nan
Cora_GAT_inter0.10_intra0.50_total4500_Orbits_4317.00_Norm_0.50_ArScore_0.20_lr0.01_batch1024_seed999,10.12 ± nan,14.04 ± nan,98.00 ± nan,97.76 ± nan
Cora_GAT_inter0.10_intra0.50_total5000_Orbits_4454.00_Norm_0.48_ArScore_0.18_lr0.01_batch1024_seed999,2.24 ± nan,33.02 ± nan,97.71 ± nan,97.23 ± nan
Cora_GAT_inter0.10_intra0.50_total5500_Orbits_4583.00_Norm_0.45_ArScore_0.15_lr0.01_batch1024_seed999,11.37 ± nan,19.47 ± nan,97.64 ± nan,96.90 ± nan
Cora_GAT_inter0.10_intra0.50_total6000_Orbits_4667.00_Norm_0.44_ArScore_0.14_lr0.01_batch1024_seed999,3.07 ± nan,10.91 ± nan,97.24 ± nan,96.53 ± nan
Cora_GAT_inter0.10_intra0.50_total6500_Orbits_4744.00_Norm_0.41_ArScore_0.12_lr0.01_batch1024_seed999,2.87 ± nan,8.70 ± nan,96.43 ± nan,95.26 ± nan
Cora_GAT_inter0.10_intra0.50_total7000_Orbits_4807.00_Norm_0.39_ArScore_0.11_lr0.01_batch1024_seed999,5.30 ± nan,12.23 ± nan,96.19 ± nan,95.53 ± nan
Cora_GIN_inter0.00_intra0.00_total0_Orbits_1007.00_Norm_0.72_ArScore_0.81_lr0.01_batch1024_seed999,5.56 ± nan,14.03 ± nan,96.30 ± nan,95.03 ± nan
Cora_GIN_inter0.10_intra0.50_total0_Orbits_1007.00_Norm_0.72_ArScore_0.81_lr0.01_batch1024_seed999,3.47 ± nan,14.90 ± nan,96.23 ± nan,95.13 ± nan
Cora_GIN_inter0.10_intra0.50_total500_Orbits_2393.00_Norm_0.69_ArScore_0.56_lr0.01_batch1024_seed999,7.14 ± nan,11.59 ± nan,93.87 ± nan,92.13 ± nan
Cora_GIN_inter0.10_intra0.50_total1000_Orbits_2756.00_Norm_0.66_ArScore_0.49_lr0.01_batch1024_seed999,6.24 ± nan,10.91 ± nan,94.81 ± nan,94.90 ± nan
Cora_GIN_inter0.10_intra0.50_total1500_Orbits_3077.00_Norm_0.64_ArScore_0.43_lr0.01_batch1024_seed999,8.73 ± nan,12.08 ± nan,94.60 ± nan,93.67 ± nan
Cora_GIN_inter0.10_intra0.50_total2000_Orbits_3356.00_Norm_0.62_ArScore_0.38_lr0.01_batch1024_seed999,5.03 ± nan,9.95 ± nan,91.80 ± nan,90.72 ± nan
Cora_GIN_inter0.10_intra0.50_total2500_Orbits_3598.00_Norm_0.60_ArScore_0.34_lr0.01_batch1024_seed999,3.68 ± nan,10.17 ± nan,91.79 ± nan,91.47 ± nan
Cora_GIN_inter0.10_intra0.50_total3000_Orbits_3769.00_Norm_0.58_ArScore_0.30_lr0.01_batch1024_seed999,10.07 ± nan,13.12 ± nan,89.13 ± nan,89.73 ± nan
Cora_GIN_inter0.10_intra0.50_total3500_Orbits_3981.00_Norm_0.55_ArScore_0.26_lr0.01_batch1024_seed999,0.00 ± nan,0.11 ± nan,50.00 ± nan,50.00 ± nan
