Metric,Hits@1,MRR,AUC,AP
Cora_GIN_inter0.10_intra0.50_total7000_Orbits_4862.00_Norm_0.38_ArScore_0.10,2.52 ± 1.91,4.43 ± 2.36,56.56 ± 15.88,61.25 ± 13.44



Cora_GAT_inter0.00_intra0.00_total0_Orbits_1007.00_Norm_0.72_ArScore_0.81,1.14 ± 0.86,2.73 ± 1.27,65.70 ± 4.61,67.50 ± 4.78
Cora_GAT_inter0.10_intra0.50_total0_Orbits_1007.00_Norm_0.72_ArScore_0.81,1.50 ± 0.76,2.96 ± 0.94,65.33 ± 4.41,67.40 ± 4.28
Cora_GAT_inter0.10_intra0.50_total500_Orbits_2343.00_Norm_0.69_ArScore_0.57,0.87 ± 0.63,2.17 ± 0.50,64.70 ± 4.02,65.85 ± 4.05
Cora_GAT_inter0.10_intra0.50_total1000_Orbits_2754.00_Norm_0.66_ArScore_0.49,1.20 ± 1.08,3.04 ± 1.27,63.79 ± 3.51,66.15 ± 3.41
Cora_GAT_inter0.10_intra0.50_total1500_Orbits_3100.00_Norm_0.64_ArScore_0.43,0.93 ± 0.61,2.50 ± 0.81,63.53 ± 3.76,65.13 ± 3.24
Cora_GAT_inter0.10_intra0.50_total2000_Orbits_3358.00_Norm_0.61_ArScore_0.38,0.94 ± 0.64,2.53 ± 0.70,62.06 ± 3.72,64.99 ± 3.01
Cora_GAT_inter0.10_intra0.50_total2500_Orbits_3630.00_Norm_0.58_ArScore_0.33,0.70 ± 0.60,1.72 ± 0.85,62.42 ± 3.34,64.91 ± 2.71
Cora_GAT_inter0.10_intra0.50_total3000_Orbits_3834.00_Norm_0.56_ArScore_0.29,0.86 ± 0.38,2.18 ± 0.60,61.37 ± 3.16,63.82 ± 2.65
Cora_GAT_inter0.10_intra0.50_total3500_Orbits_4010.00_Norm_0.54_ArScore_0.26,0.53 ± 0.39,1.95 ± 0.92,61.10 ± 2.62,63.07 ± 2.26
Cora_GAT_inter0.10_intra0.50_total4000_Orbits_4196.00_Norm_0.51_ArScore_0.23,0.40 ± 0.32,1.76 ± 0.37,60.21 ± 3.01,63.02 ± 2.38
Cora_GAT_inter0.10_intra0.50_total4500_Orbits_4380.00_Norm_0.49_ArScore_0.19,0.41 ± 0.40,1.63 ± 0.46,60.02 ± 3.33,62.67 ± 2.96
Cora_GAT_inter0.10_intra0.50_total5000_Orbits_4520.00_Norm_0.46_ArScore_0.17,0.52 ± 0.25,1.71 ± 0.38,59.84 ± 2.93,62.08 ± 2.18
Cora_GAT_inter0.10_intra0.50_total5500_Orbits_4629.00_Norm_0.43_ArScore_0.15,0.51 ± 0.33,1.44 ± 0.47,58.64 ± 2.53,60.67 ± 2.21
Cora_GAT_inter0.10_intra0.50_total6000_Orbits_4719.00_Norm_0.41_ArScore_0.13,0.45 ± 0.43,1.50 ± 0.60,59.46 ± 2.68,61.54 ± 2.37
Cora_GAT_inter0.10_intra0.50_total6500_Orbits_4801.00_Norm_0.39_ArScore_0.11,1.00 ± 0.46,2.27 ± 0.49,58.03 ± 2.73,61.23 ± 1.98
Cora_GAT_inter0.10_intra0.50_total7000_Orbits_4862.00_Norm_0.38_ArScore_0.10,0.39 ± 0.38,1.34 ± 0.62,57.99 ± 2.28,60.45 ± 2.12


Cora_SAGE_inter0.00_intra0.00_total0_Orbits_1007.00_Norm_0.72_ArScore_0.81,1.43 ± 1.03,4.03 ± 0.91,64.70 ± 0.61,68.14 ± 0.79
Cora_SAGE_inter0.10_intra0.50_total0_Orbits_1007.00_Norm_0.72_ArScore_0.81,1.91 ± 1.31,4.50 ± 1.66,64.91 ± 1.27,68.59 ± 1.60
Cora_SAGE_inter0.10_intra0.50_total500_Orbits_2343.00_Norm_0.69_ArScore_0.57,0.78 ± 1.12,3.14 ± 1.31,64.31 ± 0.85,67.86 ± 1.14
Cora_SAGE_inter0.10_intra0.50_total1000_Orbits_2754.00_Norm_0.66_ArScore_0.49,1.08 ± 0.82,3.09 ± 1.14,62.74 ± 0.76,66.49 ± 1.05
Cora_SAGE_inter0.10_intra0.50_total1500_Orbits_3100.00_Norm_0.64_ArScore_0.43,1.17 ± 1.13,3.19 ± 0.93,63.62 ± 1.07,66.90 ± 1.43
Cora_SAGE_inter0.10_intra0.50_total2000_Orbits_3358.00_Norm_0.61_ArScore_0.38,1.34 ± 0.75,3.14 ± 0.78,62.37 ± 0.89,66.00 ± 1.20
Cora_SAGE_inter0.10_intra0.50_total2500_Orbits_3630.00_Norm_0.58_ArScore_0.33,0.89 ± 0.87,3.41 ± 0.99,64.66 ± 1.10,68.40 ± 1.29
Cora_SAGE_inter0.10_intra0.50_total3000_Orbits_3834.00_Norm_0.56_ArScore_0.29,0.96 ± 0.86,3.10 ± 1.13,62.01 ± 0.59,65.76 ± 1.05
Cora_SAGE_inter0.10_intra0.50_total3500_Orbits_4010.00_Norm_0.54_ArScore_0.26,1.04 ± 0.55,3.30 ± 0.74,61.81 ± 0.45,65.54 ± 0.61
Cora_SAGE_inter0.10_intra0.50_total4000_Orbits_4196.00_Norm_0.51_ArScore_0.23,1.26 ± 0.64,3.14 ± 0.88,62.08 ± 0.93,65.75 ± 1.19
Cora_SAGE_inter0.10_intra0.50_total4500_Orbits_4380.00_Norm_0.49_ArScore_0.19,1.60 ± 1.28,3.63 ± 1.32,62.12 ± 0.90,65.61 ± 0.76
